"created_at_utc","tariff_class","tariff_internal_name","status","taxi_status","vehicle_model","vehicle_color","vehicle_car_region","payment_cost","payment_currency_code","driver_call_model"
1615296780,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,100,"RUB","no_call"
1615287264,"Эконом","econom","finished","complete","Ford Focus","синий",34,110,"RUB","no_call"
1615226871,"Эконом","econom","finished","complete","Datsun on-DO","белый",67,250,"RUB","no_call"
1615224952,"Эконом","econom","finished","complete","Lifan Solano","серый",34,210,"RUB","no_call"
1615219260,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","чёрный",34,0,"RUB","no_call"
1615219106,"Эконом","econom","finished","complete","Renault Logan","бежевый",61,670,"RUB","no_call"
1615218590,"Комфорт","business","finished","failed","Hyundai ix35","белый",34,0,"RUB","no_call"
1615217787,"Эконом","econom","finished","failed","LADA (ВАЗ) Kalina","коричневый",34,0,"RUB","no_call"
1615214827,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,110,"RUB","no_call"
1615201546,"Комфорт","business","finished","complete","Skoda Octavia","белый",34,480,"RUB","no_call"
1615145117,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",26,430,"RUB","no_call"
1615118298,"Эконом","econom","finished","complete","Nissan Almera","белый",34,420,"RUB","no_call"
1615117236,"Эконом","econom","cancelled","waiting","Datsun on-DO","белый",34,0,"RUB","no_call"
1615053919,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,120,"RUB","no_call"
1615042907,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,200,"RUB","no_call"
1614970922,"Эконом","econom","finished","complete","Renault Logan","бежевый",34,510,"RUB","no_call"
1614949953,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,90,"RUB","no_call"
1614884482,"Эконом","econom","finished","complete","Chevrolet Aveo","серый",34,370,"RUB","no_call"
1614871303,"Эконом","econom","finished","complete","Suzuki SX4","белый",34,140,"RUB","no_call"
1614869394,"Комфорт","business","cancelled","driving","Kia Cee'd","белый",34,0,"RUB","no_call"
1614866812,"Эконом","econom","finished","complete","Citroen C3","чёрный",34,140,"RUB","no_call"
1614861913,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","белый",34,50,"RUB","no_call"
1614859880,"Эконом","econom","finished","complete","Renault Logan","белый",34,50,"RUB","no_call"
1614858907,"Комфорт","business","finished","complete","Ford Fiesta","чёрный",99,260,"RUB","no_call"
1614845299,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,480,"RUB","no_call"
1614794168,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,450,"RUB","no_call"
1614780221,"Эконом","econom","finished","complete","Datsun on-DO","белый",23,580,"RUB","no_call"
1614779495,"Эконом","econom","cancelled","driving","Volkswagen Polo","белый",34,0,"RUB","no_call"
1614709325,"Комфорт","business","finished","complete","Renault Arkana","чёрный",30,690,"RUB","no_call"
1614698626,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","коричневый",34,550,"RUB","no_call"
1614687961,"Эконом","econom","finished","complete","Datsun on-DO","коричневый",34,170,"RUB","no_call"
1614624709,"Эконом","econom","cancelled","waiting","Kia Rio","белый",34,53,"RUB","no_call"
1614593396,"Эконом","econom","cancelled","transporting","Datsun on-DO","белый",34,50,"RUB","no_call"
1614537600,"Эконом","econom","finished","complete","Hyundai Solaris","серый",34,380,"RUB","no_call"
1614515376,"Эконом","econom","finished","complete","Renault Logan","белый",30,480,"RUB","no_call"
1614372403,"Эконом","econom","finished","complete","Renault Logan","белый",34,560,"RUB","no_call"
1614337690,"Эконом","econom","finished","complete","Renault Logan","белый",34,650,"RUB","no_call"
1613994739,"Комфорт","business","finished","complete","Renault Duster","белый",34,540,"RUB","no_call"
1613984310,"Эконом","econom","finished","complete","Skoda Rapid","синий",34,460,"RUB","no_call"
1613924720,"Комфорт","business","finished","complete","Hyundai Solaris","белый",34,540,"RUB","no_call"
1613923267,"Эконом","econom","finished","failed","LADA (ВАЗ) Granta","серый",34,0,"RUB","no_call"
1613922756,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,120,"RUB","no_call"
1613904403,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","серый",34,0,"RUB","no_call"
1613904238,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,580,"RUB","no_call"
1613847858,"Эконом","econom","cancelled","driving","Kia Rio","белый",34,0,"RUB","no_call"
1613847750,"Эконом","econom","finished","complete","Kia Rio","белый",34,90,"RUB","no_call"
1613840304,"Эконом","econom","finished","complete","Fiat Albea","серый",34,190,"RUB","no_call"
1613833474,"Комфорт","business","finished","complete","Renault Logan","белый",34,300,"RUB","no_call"
1613750840,"Эконом","econom","finished","complete","Renault Logan","белый",34,760,"RUB","no_call"
1613736329,"Эконом","econom","finished","complete","Volkswagen Polo","жёлтый",99,1140,"RUB","no_call"
1613725291,"Комфорт+","comfortplus","finished","complete","Kia Optima","белый",97,460,"RUB","no_call"
1613682367,"Эконом","econom","finished","complete","Ford Focus","жёлтый",99,220,"RUB","no_call"
1613582314,"Эконом","econom","finished","complete","Ford Focus","белый",50,720,"RUB","no_call"
1613573448,"Эконом","econom","finished","complete","Hyundai Solaris","белый",99,550,"RUB","no_call"
1613409072,"Эконом","econom","finished","complete","Hyundai Solaris","белый",90,690,"RUB","no_call"
1613401476,"Эконом","econom","cancelled","driving","Hyundai Solaris","белый",77,0,"RUB","no_call"
1613235254,"Эконом","econom","finished","complete","Hyundai Solaris","жёлтый",77,650,"RUB","no_call"
1613069087,"Эконом","econom","finished","complete","Hyundai Solaris","белый",77,350,"RUB","no_call"
1613053369,"Эконом","econom","finished","complete","Volkswagen Polo","жёлтый",99,340,"RUB","no_call"
1612988872,"Эконом","econom","finished","complete","Kia Rio","белый",50,340,"RUB","no_call"
1612956776,"Эконом","econom","finished","complete","Hyundai Solaris","жёлтый",77,1040,"RUB","no_call"
1612791438,"Эконом","econom","finished","complete","Kia Optima","жёлтый",99,260,"RUB","no_call"
1612783037,"Эконом","econom","finished","complete","Skoda Rapid","жёлтый",77,350,"RUB","no_call"
1612717055,"Эконом","econom","finished","complete","Volkswagen Polo","жёлтый",77,320,"RUB","no_call"
1612714643,"Эконом","econom","finished","complete","Kia Rio","жёлтый",77,280,"RUB","no_call"
1612616314,"Эконом","econom","finished","complete","Hyundai Solaris","белый",99,360,"RUB","no_call"
1612529895,"Эконом","econom","finished","complete","Kia Rio","белый",65,400,"RUB","no_call"
1612523716,"Эконом","econom","finished","complete","Ford Focus","жёлтый",50,380,"RUB","no_call"
1612451297,"Комфорт","business","finished","complete","Skoda Octavia","жёлтый",97,530,"RUB","no_call"
1612449017,"Эконом","econom","finished","complete","Skoda Rapid","белый",97,550,"RUB","no_call"
1612377588,"Комфорт+","comfortplus","finished","complete","Hyundai Sonata","жёлтый",99,1410,"RUB","no_call"
1612362690,"Эконом","econom","finished","complete","Renault Logan","белый",34,800,"RUB","no_call"
1612361552,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","белый",34,0,"RUB","no_call"
1612361509,"Комфорт","business","finished","complete","Renault Logan","белый",34,80,"RUB","no_call"
1612356710,"Эконом","econom","finished","complete","LADA (ВАЗ) 2112","серый",34,100,"RUB","no_call"
1612349021,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,130,"RUB","no_call"
1612291630,"Комфорт","business","finished","complete","Toyota Camry","белый",34,590,"RUB","no_call"
1612275627,"Комфорт","business","finished","complete","Renault Logan","синий",34,700,"RUB","no_call"
1612199140,"Эконом","econom","finished","complete","Skoda Rapid","белый",34,210,"RUB","no_call"
1612194466,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,60,"RUB","no_call"
1612100666,"Эконом","econom","finished","complete","Geely MK Cross","чёрный",34,180,"RUB","no_call"
1612090448,"Эконом","econom","finished","complete","Kia Rio","серый",34,190,"RUB","no_call"
1612033308,"Комфорт","business","finished","complete","Kia Rio","чёрный",34,760,"RUB","no_call"
1612020571,"Комфорт","business","finished","complete","Renault Logan","белый",30,340,"RUB","no_call"
1612005046,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","серый",34,80,"RUB","no_call"
1611947239,"Комфорт","business","finished","complete","Volkswagen Polo","серый",34,600,"RUB","no_call"
1611934386,"Эконом","econom","finished","complete","Hyundai Sonata","чёрный",34,520,"RUB","no_call"
1611934048,"Эконом","econom","cancelled","driving","Datsun on-DO","белый",34,0,"RUB","no_call"
1611933899,"Эконом","econom","cancelled","driving","Volkswagen Polo","белый",34,0,"RUB","no_call"
1611933799,"Комфорт","business","cancelled","driving","Renault Logan","белый",34,0,"RUB","no_call"
1611933730,"Эконом","econom","cancelled","driving","Renault Logan","белый",34,0,"RUB","no_call"
1611931721,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","синий",34,270,"RUB","no_call"
1611923355,"Эконом","econom","finished","complete","Hyundai Solaris","чёрный",34,100,"RUB","no_call"
1611920972,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,150,"RUB","no_call"
1611824985,"Эконом","econom","finished","complete","Renault Logan","белый",34,470,"RUB","no_call"
1611824687,"Эконом","econom","cancelled","driving","Renault Logan","белый",34,0,"RUB","no_call"
1611824677,"Эконом","econom","finished","complete","Renault Logan","белый",34,100,"RUB","no_call"
1611761364,"Эконом","econom","finished","complete","Hyundai Solaris","серый",34,140,"RUB","no_call"
1611759413,"Комфорт","business","finished","complete","Mazda 6","синий",34,340,"RUB","no_call"
1611737482,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,470,"RUB","no_call"
1611680065,"Эконом","econom","finished","complete","Renault Logan","белый",34,100,"RUB","no_call"
1611670482,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,130,"RUB","no_call"
1611595008,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,100,"RUB","no_call"
1611515255,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","белый",34,130,"RUB","no_call"
1611507306,"Эконом","econom","finished","complete","Datsun on-DO","коричневый",34,130,"RUB","no_call"
1611503753,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","голубой",77,460,"RUB","no_call"
1611503744,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","белый",34,150,"RUB","no_call"
1611486369,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","серый",34,500,"RUB","no_call"
1611411931,"Эконом","econom","finished","complete","Datsun on-DO","коричневый",34,200,"RUB","no_call"
1611388326,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","белый",34,580,"RUB","no_call"
1611335813,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,170,"RUB","no_call"
1611324167,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,490,"RUB","no_call"
1611314192,"Эконом","econom","finished","complete","Renault Logan","серый",8,490,"RUB","no_call"
1611167935,"Эконом","econom","finished","complete","Chevrolet Niva","серый",30,140,"RUB","no_call"
1611161584,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",97,160,"RUB","no_call"
1611152140,"Комфорт","business","finished","complete","Skoda Rapid","белый",34,790,"RUB","no_call"
1611132157,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","коричневый",90,510,"RUB","no_call"
1610976248,"Эконом","econom","finished","complete","Datsun on-DO","серый",34,140,"RUB","no_call"
1610967732,"Эконом","econom","finished","complete","Renault Logan","белый",34,150,"RUB","no_call"
1610884991,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","белый",34,600,"RUB","no_call"
1610880125,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","коричневый",34,220,"RUB","no_call"
1610819005,"Эконом","econom","finished","complete","Volkswagen Polo","серый",34,270,"RUB","no_call"
1610810382,"Эконом","econom","finished","complete","Volkswagen Polo","серый",34,660,"RUB","no_call"
1610720973,"Эконом","econom","finished","complete","Renault Logan","белый",34,450,"RUB","no_call"
1610713311,"Эконом","econom","finished","complete","Datsun on-DO","белый",34,280,"RUB","no_call"
1610223431,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,220,"RUB","no_call"
1610217182,"Эконом","econom","finished","complete","Renault Logan","белый",34,100,"RUB","no_call"
1610211015,"Эконом","econom","finished","complete","Kia Rio","серый",34,190,"RUB","no_call"
1610208695,"Эконом","econom","finished","complete","Kia Rio","серый",34,250,"RUB","no_call"
1610198281,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,210,"RUB","no_call"
1610114388,"Эконом","econom","finished","complete","Datsun on-DO","чёрный",34,730,"RUB","no_call"
1610103299,"Комфорт","business","cancelled","driving","Nissan Almera","белый",34,0,"RUB","no_call"
1610034114,"Комфорт","business","finished","complete","Kia Rio","белый",34,980,"RUB","no_call"
1610033349,"Комфорт","business","finished","failed","Renault Logan","белый",34,0,"RUB","no_call"
1609952806,"Комфорт","business","finished","complete","Kia Cerato","синий",34,790,"RUB","no_call"
1609862965,"Эконом","econom","finished","complete","Datsun on-DO","серый",34,130,"RUB","no_call"
1609855170,"Эконом","econom","finished","complete","Datsun on-DO","серый",34,210,"RUB","no_call"
1609683760,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","красный",34,180,"RUB","no_call"
1609676348,"Эконом","econom","finished","complete","Skoda Fabia","серый",34,170,"RUB","no_call"
1609594975,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,260,"RUB","no_call"
1609593950,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,140,"RUB","no_call"
1609591597,"Комфорт","business","finished","complete","Hyundai Solaris","белый",34,380,"RUB","no_call"
1609586584,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,330,"RUB","no_call"
1609579242,"Эконом","econom","finished","complete","Hyundai Accent","бежевый",34,360,"RUB","no_call"
1621104722,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","белый",34,0,"RUB","no_call"
1621104364,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Vesta","белый",64,74,"RUB","no_call"
1621104258,"Эконом","econom","finished","complete","Kia Sorento","серый",34,590,"RUB","no_call"
1621084142,"Комфорт","business","finished","complete","Renault Kaptur","белый",34,670,"RUB","no_call"
1621074688,"Эконом","econom","finished","complete","Renault Logan","белый",34,136.25,"RUB","no_call"
1621029868,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","белый",34,0,"RUB","no_call"
1621029672,"Эконом","econom","finished","complete","Renault Sandero","красный",23,100,"RUB","no_call"
1621020587,"Эконом","econom","finished","complete","Mazda 6","чёрный",34,104.55,"RUB","no_call"
1621011863,"Эконом","econom","finished","complete","LADA (ВАЗ) Priora","фиолетовый",34,104.7,"RUB","no_call"
1621008097,"Эконом","econom","finished","complete","LADA (ВАЗ) XRAY","белый",34,620,"RUB","no_call"
1621007587,"Эконом","econom","finished","failed","LADA (ВАЗ) Granta","белый",34,0,"RUB","no_call"
1621007469,"Комфорт","business","cancelled","driving","LADA (ВАЗ) Vesta","серый",34,0,"RUB","no_call"
1621007184,"Эконом","econom","cancelled","driving","Chery Tiggo 3","синий",34,0,"RUB","no_call"
1621007172,"Эконом","econom","cancelled","driving","Hyundai Solaris","серый",34,0,"RUB","no_call"
1621006523,"Эконом","econom","cancelled","driving","Renault Logan","серый",34,0,"RUB","no_call"
1621006288,"Эконом","econom","cancelled","driving","Renault Logan","синий",34,0,"RUB","no_call"
1620996843,"Эконом","econom","cancelled","driving","Nissan Qashqai","красный",34,0,"RUB","no_call"
1620996605,"Эконом","econom","finished","complete","Renault Logan","белый",34,472.25,"RUB","no_call"
1620988377,"Эконом","econom","finished","complete","LADA (ВАЗ) Kalina","белый",34,94.3,"RUB","no_call"
1620842543,"Комфорт","business","finished","complete","LADA (ВАЗ) Vesta","белый",34,94,"RUB","no_call"
1609512995,"Комфорт","business","finished","complete","Renault Logan","белый",34,220,"RUB","no_call"
1609507085,"Эконом","econom","finished","complete","Renault Logan","белый",30,1140,"RUB","no_call"
1609505538,"Эконом","econom","cancelled","driving","Datsun on-DO","серый",34,0,"RUB","no_call"
1609428126,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","красный",34,540,"RUB","no_call"
1609421365,"Комфорт","business","finished","complete","Renault Logan","белый",34,270,"RUB","no_call"
1609414615,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","красный",34,410,"RUB","no_call"
1609329378,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,760,"RUB","no_call"
1609329248,"Комфорт","business","cancelled","driving","Hyundai Solaris","оранжевый",34,0,"RUB","no_call"
1609256058,"Доставка","express","finished","complete","LADA (ВАЗ) Largus","чёрный",34,340,"RUB","no_call"
1609185990,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,470,"RUB","no_call"
1609185015,"Эконом","econom","finished","complete","Hyundai Verna","голубой",34,370,"RUB","no_call"
1609167448,"Эконом","econom","finished","complete","Mitsubishi Galant","бежевый",34,630,"RUB","no_call"
1609070324,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Kalina","серый",34,0,"RUB","no_call"
1608983139,"Комфорт","business","finished","complete","Kia Optima","белый",97,1550,"RUB","no_call"
1608965041,"Комфорт","business","finished","complete","Kia Cee'd","жёлтый",77,1600,"RUB","no_call"
1608917923,"Комфорт","business","finished","complete","Skoda Octavia","жёлтый",77,510,"RUB","no_call"
1608837481,"Комфорт","business","finished","complete","Skoda Octavia","белый",50,1030,"RUB","no_call"
1608812287,"Эконом","econom","finished","complete","Hyundai Solaris","жёлтый",77,510,"RUB","no_call"
1608734988,"Эконом","econom","finished","complete","Kia Rio","жёлтый",99,240,"RUB","no_call"
1608574848,"Эконом","econom","finished","complete","Volkswagen Polo","белый",90,320,"RUB","no_call"
1608491317,"Комфорт","business","finished","complete","Skoda Octavia","жёлтый",77,1820,"RUB","no_call"
1608475555,"Эконом","econom","finished","complete","Kia Rio","белый",34,710,"RUB","no_call"
1608463811,"Комфорт","business","finished","complete","Renault Logan","белый",34,560,"RUB","no_call"
1608451235,"Комфорт","business","finished","complete","Hyundai Solaris","бежевый",34,210,"RUB","no_call"
1608448034,"Комфорт","business","finished","complete","Kia Cee'd","чёрный",34,520,"RUB","no_call"
